AGE,SEX,POP,RACE,us
49,0,82116,9,1
49,0,311218,10,1
49,0,18428,11,1
50,0,4096572,0,1
50,0,3181922,1,1
50,0,524917,2,1
50,0,48898,3,1
50,0,266711,4,1
50,0,9417,5,1
50,0,64707,6,1
50,0,3236417,7,1
50,0,545522,8,1
50,0,77836,9,1
50,0,291144,10,1
50,0,16743,11,1
51,0,4004343,0,1
51,0,3106786,1,1
51,0,526113,2,1
51,0,47597,3,1
51,0,253582,4,1
51,0,9146,5,1
51,0,61119,6,1
51,0,3157812,7,1
51,0,545498,8,1
51,0,75463,9,1
51,0,276454,10,1
51,0,16353,11,1
52,0,4001782,0,1
52,0,3129702,1,1
52,0,522566,2,1
52,0,46868,3,1
52,0,234476,4,1
52,0,9109,5,1
52,0,59061,6,1
52,0,3179036,7,1
52,0,541424,8,1
52,0,74458,9,1
52,0,255816,10,1
52,0,16081,11,1
53,0,4068851,0,1
53,0,3177025,1,1
53,0,540118,2,1
53,0,47608,3,1
53,0,236625,4,1
53,0,8942,5,1
53,0,58533,6,1
53,0,3225576,7,1
53,0,558496,8,1
53,0,75744,9,1
53,0,257508,10,1
53,0,15960,11,1
54,0,4305603,0,1
54,0,3381348,1,1
54,0,564796,2,1
54,0,49681,3,1
54,0,240008,4,1
54,0,9438,5,1
54,0,60332,6,1
54,0,3431434,7,1
54,0,583359,8,1
54,0,79180,9,1
54,0,261268,10,1
54,0,16695,11,1
55,0,4374565,0,1
55,0,3455936,1,1
55,0,558494,2,1
55,0,49365,3,1
55,0,241746,4,1
55,0,8987,5,1
55,0,60037,6,1
55,0,3505698,7,1
55,0,576320,8,1
55,0,79561,9,1
55,0,262774,10,1
55,0,16262,11,1
56,0,4361016,0,1
56,0,3456208,1,1
56,0,548275,2,1
56,0,48350,3,1
56,0,240386,4,1
56,0,8669,5,1
56,0,59128,6,1
56,0,3505104,7,1
56,0,565691,8,1
56,0,78370,9,1
56,0,260884,10,1
56,0,15694,11,1
57,0,4342385,0,1
57,0,3468693,1,1
57,0,539392,2,1
57,0,47479,3,1
57,0,220027,4,1
57,0,8715,5,1
57,0,58079,6,1
57,0,3516760,7,1
57,0,556308,8,1
57,0,77404,9,1
57,0,239996,10,1
57,0,15735,11,1
58,0,4385570,0,1
58,0,3519444,1,1
58,0,538454,2,1
58,0,46753,3,1
58,0,215470,4,1
58,0,8341,5,1
58,0,57108,6,1
58,0,3566627,7,1
58,0,554698,8,1
58,0,76824,9,1
58,0,234992,10,1
58,0,15150,11,1
59,0,4413855,0,1
59,0,3526915,1,1
59,0,549076,2,1
59,0,47186,3,1
59,0,225401,4,1
59,0,8388,5,1
59,0,56889,6,1
59,0,3573908,7,1
59,0,565367,8,1
59,0,77092,9,1
59,0,244777,10,1
59,0,15159,11,1
60,0,4252663,0,1
60,0,3417786,1,1
60,0,520194,2,1
60,0,43719,3,1
60,0,210055,4,1
60,0,7719,5,1
60,0,53190,6,1
60,0,3461806,7,1
60,0,535050,8,1
60,0,72422,9,1
60,0,227909,10,1
60,0,13781,11,1
61,0,4215172,0,1
61,0,3402747,1,1
61,0,501311,2,1
61,0,42130,3,1
61,0,210012,4,1
61,0,7402,5,1
61,0,51570,6,1
61,0,3445289,7,1
61,0,515799,8,1
61,0,70194,9,1
61,0,227157,10,1
61,0,13233,11,1
62,0,4156645,0,1
62,0,3362894,1,1
62,0,492720,2,1
62,0,41134,3,1
62,0,203015,4,1
62,0,7115,5,1
62,0,49767,6,1
62,0,3403957,7,1
62,0,506677,8,1
62,0,68960,9,1
62,0,218910,10,1
62,0,12779,11,1
63,0,3996088,0,1
63,0,3233532,1,1
63,0,468620,2,1
63,0,39035,3,1
63,0,200750,4,1
63,0,6660,5,1
63,0,47491,6,1
63,0,3272746,7,1
63,0,481830,8,1
63,0,65500,9,1
63,0,215993,10,1
63,0,12039,11,1
64,0,3950578,0,1
64,0,3208906,1,1
64,0,453339,2,1
64,0,37320,3,1
64,0,199186,4,1
64,0,6402,5,1
64,0,45425,6,1
64,0,3246194,7,1
64,0,465962,8,1
64,0,62721,9,1
64,0,213799,10,1
64,0,11660,11,1
65,0,3774597,0,1
65,0,3084823,1,1
65,0,421251,2,1
65,0,34408,3,1
65,0,186359,4,1
65,0,5910,5,1
65,0,41846,6,1
65,0,3119322,7,1
65,0,432762,8,1
65,0,58506,9,1
65,0,199280,10,1
65,0,10603,11,1
66,0,3618069,0,1
66,0,2972416,1,1
66,0,390574,2,1
66,0,32038,3,1
66,0,178209,4,1
66,0,5568,5,1
66,0,39264,6,1
66,0,3004814,7,1
66,0,401103,8,1
66,0,54690,9,1
66,0,190457,10,1
66,0,10014,11,1
67,0,3464437,0,1
67,0,2858547,1,1
67,0,366432,2,1
67,0,29584,3,1
67,0,168611,4,1
67,0,5284,5,1
67,0,35979,6,1
67,0,2888208,7,1
67,0,376078,8,1
67,0,50758,9,1
67,0,179483,10,1
67,0,9461,11,1
68,0,3345475,0,1
68,0,2757191,1,1
68,0,359121,2,1
68,0,28470,3,1
68,0,161595,4,1
68,0,4855,5,1
68,0,34243,6,1
68,0,2785379,7,1
68,0,368484,8,1
68,0,48872,9,1
68,0,171660,10,1
68,0,8763,11,1
69,0,3252423,0,1
69,0,2673299,1,1
69,0,345956,2,1
69,0,27385,3,1
69,0,167821,4,1
69,0,4899,5,1
69,0,33063,6,1
69,0,2700392,7,1
69,0,354995,8,1
69,0,46987,9,1
69,0,177718,10,1
69,0,8757,11,1
70,0,3136704,0,1
70,0,2605100,1,1
70,0,317412,2,1
70,0,25507,3,1
70,0,153319,4,1
70,0,4679,5,1
70,0,30687,6,1
70,0,2630464,7,1
70,0,325542,8,1
70,0,44013,9,1
70,0,162193,10,1
70,0,8189,11,1
71,0,3083083,0,1
71,0,2583410,1,1
71,0,298122,2,1
71,0,23892,3,1
71,0,144119,4,1
71,0,4229,5,1
71,0,29311,6,1
71,0,2607738,7,1
71,0,305816,8,1
71,0,41637,9,1
71,0,152471,10,1
71,0,7571,11,1
72,0,3191048,0,1
72,0,2721442,1,1
72,0,279261,2,1
72,0,23496,3,1
72,0,133806,4,1
72,0,3828,5,1
72,0,29215,6,1
72,0,2745893,7,1
72,0,286804,8,1
72,0,41727,9,1
72,0,141703,10,1
72,0,7037,11,1
73,0,2334433,0,1
73,0,1955488,1,1
73,0,221629,2,1
73,0,18134,3,1
73,0,113420,4,1
73,0,3446,5,1
73,0,22316,6,1
73,0,1974055,7,1
73,0,227384,8,1
73,0,31325,9,1
73,0,120030,10,1
73,0,6121,11,1
74,0,2283164,0,1
74,0,1916207,1,1
74,0,216514,2,1
74,0,17293,3,1
74,0,108589,4,1
74,0,3103,5,1
74,0,21458,6,1
74,0,1934085,7,1
74,0,221998,8,1
74,0,30065,9,1
74,0,114805,10,1
74,0,5754,11,1
75,0,2198286,0,1
75,0,1861437,1,1
75,0,198818,2,1
75,0,15971,3,1
75,0,99380,4,1
75,0,2791,5,1
75,0,19889,6,1
75,0,1878019,7,1
75,0,203903,8,1
75,0,27971,9,1
75,0,104990,10,1
75,0,5236,11,1
76,0,2222392,0,1
76,0,1902865,1,1
76,0,191829,2,1
76,0,14925,3,1
76,0,91252,4,1
76,0,2483,5,1
76,0,19038,6,1
76,0,1918854,7,1
76,0,196635,8,1
